text,label
UBER *UBER TRIP HELPDESK,Transporte
99APP *CORRIDA CIDADE,Transporte
POSTO SHELL COMBUSTIVEIS,Combustivel
POSTO IPIRANGA MATRIZ,Combustivel
POSTO PETROBRAS FRANCHISE,Combustivel
ESTACIONAMENTO AEROPORTO,Transporte
SEM PARAR TAG PEDAGIO,Transporte
RECARGA BILHETE UNICO,Transporte
NETFLIX COM ASSINATURA,Assinaturas
SPOTIFY PREMIUM MONTHLY,Assinaturas
YOUTUBE PREMIUM MEMBER,Assinaturas
AMAZON PRIME BRASIL,Assinaturas
DISNEY PLUS SUBSCRIPTION,Assinaturas
ADOBE CREATIVE CLOUD,Assinaturas
CANVA PRO DESIGN,Assinaturas
PAG*MCDONALDS DRIVE,Alimentacao
BURGER KING SAO PAULO,Alimentacao
IFOOD *PEDIDO ONLINE,Alimentacao
RAIA DROGASIL SA,Saude
DROGARIA SAO PAULO DIST,Saude
FARMACIA PAGUE MENOS,Saude
HOSPITAL ISRAELITA ALBERT,Saude
UNIMED MENSALIDADE,Saude
EXAME LABORATORIO ANALISE,Saude
CARREFOUR HIPERMERCADO,Mercado
PÃO DE AÇUCAR LOJA,Mercado
SUPERMERCADOS BH LTDA,Mercado
ATACADAO DISTRIBUIÇÃO,Mercado
ZAFFARI SUPERMERCADOS,Mercado
MERCADO LIVRE *COMPRA,Mercado
PADARIA E CONFEITARIA,Alimentacao
STARBUCKS COFFEE BRA,Alimentacao
SUBWAY SANDUICHEIRA,Alimentacao
HABIB S LANCHONETE,Alimentacao
OUTBACK STEAKHOUSE,Alimentacao
RESTAURANTE E PIZZARIA,Alimentacao
ESTOQUE PETSHOP ANIMAL,Mercado
COBASI PRODUTOS PET,Mercado
DECOLAR COM VIAGENS,Transporte
AZUL LINHAS AEREAS,Transporte
LATAM AIRLINES PASSAGEM,Transporte
LOJA RENNER SHOPPING,Mercado
ZARA BRASIL VAREJO,Mercado
H&M CLOTHING STORE,Mercado
DECATHLON ESPORTES,Mercado
LEROY MERLIN BRASIL,Mercado
APPLE COM BILL,Assinaturas
GOOGLE STORAGE GOOGLE,Assinaturas
MICROSOFT *365 FAMILY,Assinaturas
PLAYSTATION NETWORK PSN,Assinaturas
SAMS CLUB MEMBERSHIP,Mercado
RECARGAPAY CONTAS,Transporte
WET N WILD INGRESSO,Alimentacao
CINEPOLIS PIPOCA,Alimentacao
TICKETS FOR FUN,Alimentacao
EXTRA HIPERMERCADO,Mercado
CONDESA PANIFICADORA,Alimentacao
AUTO POSTO TREVO,Combustivel
GASOLINA ADITIVADA V-POWER,Combustivel
POSTO BR ALEGRIA,Combustivel
FARMACIA DO TRABALHADOR,Saude
ODONTOPREV MENSAL,Saude
HOSPITAL DA LUZ,Saude
CLINICA RADIOLOGICA,Saude
DROGARIA ONOFRE,Saude
GOL LINHAS AEREAS,Transporte
LOCALIZA RENT A CAR,Transporte
MOVIDA ALUGUEL CARROS,Transporte
WIZZER PASSAGENS,Transporte
SMARTFIT ACADEMIA,Saude
BLUEFIT MENSALIDADE,Saude
CENTAURO ESPORTES,Mercado
CHILLI BEANS ÓCULOS,Mercado
MAGAZINE LUIZA COMPRA,Mercado
CASAS BAHIA VAREJO,Mercado
AMERICANAS COM BR,Mercado
SHOPTIME UTILIDADES,Mercado
ALIEXPRESS PAGAMENTO,Mercado
SHEIN INTERNACIONAL,Mercado
SHOPEE BRASIL,Mercado
DAZN SUBSCRIPTION,Assinaturas
GLOBOPLAY MENSALIDADE,Assinaturas
HBO MAX STREAMING,Assinaturas
CRUNCHYROLL ASSINATURA,Assinaturas
NINTENDO ESHOP,Assinaturas
STEAM GAMES ONLINE,Assinaturas
EPIC GAMES STORE,Assinaturas
CPFL ENERGIA CONTA,Saude
SABESP AGUA ESGOTO,Saude
COMGÁS BOLETO,Saude
VIVO MOVEL CELULAR,Assinaturas
CLARO NET COMBO,Assinaturas
TIM POS PAGO,Assinaturas
OI FIBRA INTERNET,Assinaturas
RESTAURANTE JAPA,Alimentacao
PIZZARIA DO BAIRRO,Alimentacao
CHURRASCARIA RODIZIO,Alimentacao
CAFE DA MANHA HOTEL,Alimentacao
MERCADINHO DA ESQUINA,Mercado
FEIRA DO PRODUTOR,Mercado
HORTIFRUTI NATURAL,Mercado
CEASA DISTRIBUIDORA,Mercado
PETZ RAÇÃO E BANHO,Mercado
CASSOL MATERIAIS,Mercado
CONSTRUMAR MATERIAL,Mercado
TELHANORTE PISOS,Mercado
PEDÁGIO ECOVIA,Transporte
TAXA DE EMBARQUE,Transporte
CORREIOS SEDEX,Transporte
DHL EXPRESS BR,Transporte
FEDEX SHIPPING,Transporte
TAXA DE CONVENIENCIA,Alimentacao
EVENTIM INGRESSOS,Alimentacao
SYMPLA EVENTOS,Alimentacao
HOTMART CURSOS,Assinaturas
UDEMY ONLINE COURSE,Assinaturas
COURSERA SUBSCRIPTION,Assinaturas
FACULDADE MENSALIDADE,Saude
COLEGIO INFANTIL,Saude
ESCOLA DE IDIOMAS,Saude
LIVRARIA CULTURA,Mercado
LIVRARIA SARAIVA,Mercado
ESTANTE VIRTUAL,Mercado
